,player,x_start,y_start,x_end,y_end,length,progressive_length,distance_from_center,dangerousness_carries_index
1898,Dries Mertens,60.0,41.8,59.1,41.6,0.9219544457292864,0.8999999999999986,3.3999999999999986,0.503262001577391
1899,Raúl Albiol i Tortajada,47.3,46.8,47.3,46.8,0.0,0.0,13.599999999999994,0.4925291777006211
1900,Vlad Iulian Chiricheș,45.9,42.5,45.9,42.5,0.0,0.0,5.0,0.504533128450669
1901,Lorenzo Insigne,113.0,69.7,113.0,69.9,0.20000000000000284,0.0,59.60000000000001,0.37872382161401225
1902,Raúl Albiol i Tortajada,73.0,60.0,73.0,60.0,0.0,0.0,40.0,0.4373360502025251
1903,Vlad Iulian Chiricheș,55.5,52.0,55.6,44.2,7.800640999302554,-0.10000000000000142,16.200000000000003,0.4928984976417083
1904,Marek Hamšík,76.6,15.8,65.0,14.3,11.696580696938737,11.599999999999994,49.9,0.5350104595685875
1905,Raúl Albiol i Tortajada,43.0,42.8,43.9,42.3,1.0295630140986987,-0.8999999999999986,5.099999999999994,0.5009640109838479
1906,Vlad Iulian Chiricheș,49.6,18.8,52.2,25.9,7.56108457828637,-2.6000000000000014,35.3,0.452924959729608
1907,Lorenzo Insigne,72.1,29.2,73.1,26.9,2.5079872407968913,-1.0,23.900000000000002,0.45375506945452293
1910,David López Silva,94.4,68.8,95.5,70.7,2.195449840010017,-1.0999999999999943,59.5,0.38863057078778657
1911,Lorenzo Insigne,95.5,59.1,95.5,59.1,0.0,0.0,38.2,0.4203127570103531
1912,Lorenzo Insigne,78.7,47.5,84.6,43.9,6.911584478250983,-5.8999999999999915,11.399999999999999,0.4297509609433362
1913,Gonzalo Gerardo Higuaín,97.4,55.7,106.4,57.4,9.159148432032314,-9.0,33.1,0.36412656504344837
1919,Marek Hamšík,57.9,10.3,56.7,10.3,1.1999999999999957,1.1999999999999957,59.4,0.4376016302244422
1920,Mirko Valdifiori,65.3,14.3,65.3,14.3,0.0,0.0,51.4,0.4296140607348232
1921,Elseid Hysaj,69.3,6.1,70.5,6.5,1.2649110640673547,-1.2000000000000028,67.4,0.39802091320490096
1923,David López Silva,64.0,39.7,64.0,39.7,0.0,0.0,0.5999999999999943,0.4945473775296451
1924,Marek Hamšík,66.4,14.8,63.8,15.8,2.7856776554368317,2.6000000000000085,49.4,0.45679722452977345
1925,Vlad Iulian Chiricheș,51.5,28.8,52.5,33.0,4.31740662898458,-1.0,18.2,0.4812374500840153
1926,Christian Maggio,58.6,75.4,60.7,75.9,2.158703314492292,-2.1000000000000014,71.30000000000001,0.39616325049699785
1927,Raúl Albiol i Tortajada,45.1,62.2,44.2,59.3,3.0364452901378,0.8999999999999986,41.5,0.47128322515668114
1928,Vlad Iulian Chiricheș,36.6,42.7,50.6,30.4,18.63571839237758,-14.0,12.300000000000004,0.41496337301789493
1929,Christian Maggio,41.3,59.5,39.2,61.6,2.969848480983497,2.0999999999999943,41.1,0.4848721998041193
1930,Christian Maggio,64.8,79.7,71.4,77.1,7.093659140387291,-6.6000000000000085,76.8,0.353980861604825
1934,José Manuel Reina Páez,12.7,54.3,14.8,49.1,5.608029957123978,-2.1000000000000014,23.4,0.5007609135388313
1938,Vlad Iulian Chiricheș,51.3,10.4,51.7,8.2,2.2360679774997916,-0.4000000000000057,61.400000000000006,0.4290352993135152
1939,Marek Hamšík,64.1,18.9,64.6,19.3,0.6403124237432862,-0.5,41.8,0.4395096132725645
1940,Mirko Valdifiori,56.7,20.3,56.7,20.3,0.0,0.0,39.4,0.4520604401807379
1941,Marek Hamšík,44.4,13.2,49.1,24.7,12.423365083583434,-4.700000000000003,42.1,0.43862843325171696
1942,David López Silva,45.9,37.5,46.6,37.1,0.8062257748298567,-0.7000000000000028,5.399999999999999,0.4994271598906931
1943,Christian Maggio,55.6,72.6,55.5,73.0,0.41231056256177195,0.10000000000000142,65.6,0.4215233452468636
1944,Raúl Albiol i Tortajada,44.2,62.6,49.2,64.0,5.192301994298868,-5.0,46.6,0.42001260977415006
1945,Lorenzo Insigne,91.0,22.6,92.0,22.1,1.118033988749895,-1.0,35.3,0.42118685866680905
1946,Dries Mertens,91.2,19.5,91.0,17.9,1.6124515496597116,0.20000000000000284,42.6,0.4225005229972378
1947,Marek Hamšík,91.8,7.0,101.2,13.0,11.151681487560525,-9.400000000000006,60.0,0.33475831285512614
1948,Lorenzo Insigne,97.0,24.5,99.0,23.8,2.118962010041709,-2.0,31.7,0.4137683687334116
1956,Lorenzo Insigne,70.4,63.3,74.0,68.1,5.999999999999994,-3.5999999999999943,51.39999999999999,0.40429864629735573
1961,Raúl Albiol i Tortajada,31.0,53.9,48.7,43.4,20.580087463370997,-17.700000000000003,17.299999999999997,0.38573580260456736
1962,Raúl Albiol i Tortajada,48.4,44.4,53.4,37.5,8.521150157109073,-5.0,6.899999999999999,0.47119091314265144
1963,Elseid Hysaj,57.7,8.2,59.1,8.2,1.3999999999999986,-1.3999999999999986,63.6,0.4112814626140915
1966,David López Silva,83.4,56.7,104.2,49.4,22.043819995635964,-20.799999999999997,26.1,0.30627873051962873
1969,Christian Maggio,24.3,53.6,42.8,41.8,21.94288039433292,-18.499999999999996,15.399999999999999,0.3892543842158892
1970,Marek Hamšík,52.9,18.2,77.3,10.3,25.647027118167124,-24.4,51.5,0.276035576981954
