,counterpress,location,match_id,out,pass_aerial_won,pass_angle,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outswinging,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,player,position,under_pressure,xA
6,,"[61.0, 40.1]",3878546,,,2.1025205,Right Foot,,,,"[60.0, 41.8]",,Ground Pass,,1.9723083,,,,,,,,Kick Off,Gonzalo Gerardo Higuaín,Right Center Forward,,5.8005094e-06
7,,"[59.1, 41.6]",3878546,,,2.726518,Right Foot,,,,"[47.3, 46.8]",,Ground Pass,,12.89496,,,,,,,,,Dries Mertens,Left Center Forward,,0.00026022267
8,,"[47.3, 46.8]",3878546,,,-1.885554,Right Foot,,,,"[45.9, 42.5]",,Ground Pass,,4.5221677,,,,,,,,,Raúl Albiol i Tortajada,Right Center Back,,1.3373804e-06
9,,"[45.9, 42.5]",3878546,,,0.5125596,Right Foot,,,,"[101.7, 73.9]",,High Pass,,64.02812,,,,,,,,,Vlad Iulian Chiricheș,Left Center Back,,7.0107544e-06
10,,"[105.5, 80.0]",3878546,,,-0.941423,,,,,"[113.0, 69.7]",,High Pass,,12.741272,,,,,,,,Throw-in,Christian Maggio,Right Back,,4.189224e-05
11,,"[113.0, 69.9]",3878546,,,-1.6173728,Right Foot,True,,,"[111.9, 46.3]",,High Pass,,23.625622,,,,,,,,,Lorenzo Insigne,Center Attacking Midfield,True,7.392043e-05
12,,"[88.7, 62.4]",3878546,,,-2.9899008,Right Foot,,,,"[73.0, 60.0]",,Ground Pass,,15.8823805,,,,,,,,Recovery,Mirko Valdifiori,Center Defensive Midfield,,7.989821e-06
13,,"[73.0, 60.0]",3878546,,,-2.7128146,Right Foot,,,,"[55.5, 52.0]",,Ground Pass,,19.241882,,,,,,,,,Raúl Albiol i Tortajada,Right Center Back,,2.360528e-05
14,,"[55.6, 44.2]",3878546,,,-1.5300026,Right Foot,,,,"[57.0, 9.9]",,Ground Pass,,34.32856,,,,,,,,,Vlad Iulian Chiricheș,Left Center Back,,3.3270808e-06
15,,"[57.0, 12.2]",3878546,,,0.18164884,Left Foot,,,,"[76.6, 15.8]",,Ground Pass,,19.92787,,,,,,,,,Elseid Hysaj,Left Back,,2.9383527e-06
16,,"[65.0, 14.3]",3878546,,,2.2281854,Right Foot,,,,"[43.0, 42.8]",,High Pass,,36.00347,,,,,,,,,Marek Hamšík,Left Center Midfield,,1.2438645e-06
17,,"[43.9, 42.3]",3878546,,,-1.3328387,Right Foot,,,,"[49.6, 18.8]",,Ground Pass,,24.181398,,,,,,,,,Raúl Albiol i Tortajada,Right Center Back,,2.4362205e-06
18,,"[52.2, 25.9]",3878546,,,0.16433369,Right Foot,,,,"[72.1, 29.2]",,Ground Pass,,20.171762,,,,,,,,,Vlad Iulian Chiricheș,Left Center Back,,4.585838e-07
